id,base_id,categories,base_categories
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"{""primary"":""shipping_center"",""alternate"":[""freight_and_cargo_service"",""post_office""]}","{""primary"":""vehicle_shipping"",""alternate"":[""courier_and_delivery_services"",""mailbox_center"",""shipping_center"",""post_office"",""automotive""]}"
08f29a456e42e5830324637954145c50,1125899907111860,"{""primary"":""automotive_repair"",""alternate"":[""automotive"",""professional_services""]}","{""primary"":""transmission_repair"",""alternate"":[""automotive""]}"
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"{""primary"":""car_dealer"",""alternate"":[""automotive"",""automotive_dealer""]}","{""primary"":""used_car_dealer"",""alternate"":[""automotive""]}"
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"{""primary"":""automotive_repair"",""alternate"":[""car_dealer"",""automotive_parts_and_accessories""]}","{""primary"":""brake_service_and_repair"",""alternate"":[""auto_body_shop"",""tire_shop"",""automotive"",""retail""]}"
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"{""primary"":""gas_station"",""alternate"":[""energy_company"",""auto_detailing""]}","{""primary"":""car_wash"",""alternate"":[""gas_station"",""automotive""]}"
08f48d621e8c9db103fd54168e9fe11c,1125899912129300,"{""primary"":""engineering_services"",""alternate"":[""land_surveying"",""commercial_industrial""]}","{""primary"":""civil_engineers"",""alternate"":[""land_surveying"",""engineering_services"",""agricultural_engineering_service"",""structural_engineer"",""real_estate_service"",""b2b_agriculture_and_food"",""business_to_business""]}"
08f44e8346794333033a01eb53999680,1407374890864242,"{""primary"":""ice_cream_shop"",""alternate"":[""bakery"",""diner""]}","{""primary"":""ice_cream_and_frozen_yoghurt"",""alternate"":[""restaurant""]}"
08f281334dcd60a303d3ca8e7eff2b77,562949957672973,"{""primary"":""fast_food_restaurant"",""alternate"":[""burger_restaurant"",""restaurant""]}","{""primary"":""beverage_supplier"",""alternate"":[""burger_restaurant"",""fast_food_restaurant"",""business_equipment_and_supply"",""food_and_beverage_consultant"",""restaurant"",""business_to_business""]}"
08f44e554128900503a7df0284a7d549,1407374891438357,"{""primary"":""bar_and_grill_restaurant"",""alternate"":[""restaurant"",""diner""]}","{""primary"":""pub"",""alternate"":[""bar"",""restaurant""]}"
08f2659a2d05a4b103cc0338dfb94fa1,1407374886155785,"{""primary"":""gym"",""alternate"":[""active_life"",""health_and_medical""]}","{""primary"":""boot_camp"",""alternate"":[""gym"",""active_life""]}"
08f2a1054d2dd7b003431719d93037ed,1125899907096133,"{""primary"":""outdoor_gear"",""alternate"":[""sporting_goods""]}","{""primary"":""t_shirt_store"",""alternate"":[""outdoor_gear"",""clothing_store"",""retail""]}"
08f2986a82c92b5003309ff5c3c715bf,562949965577447,"{""primary"":""mexican_restaurant"",""alternate"":[""eat_and_drink""]}","{""primary"":""fast_food_restaurant"",""alternate"":[""mexican_restaurant"",""restaurant""]}"
08f2a8c10a6a681003edc1e418ee0a32,562949965568735,"{""primary"":""public_service_and_government"",""alternate"":[""public_and_government_association"",""central_government_office""]}","{""primary"":""registry_office""}"
08f44c2011985b0e030204dcf297b66d,1970324839341272,"{""primary"":""car_dealer"",""alternate"":[""automotive_dealer"",""automotive_repair""]}","{""primary"":""auto_parts_and_supply_store"",""alternate"":[""used_car_dealer"",""automotive"",""retail""]}"
08f1faea1a71d7250355b13ab53cefdb,844424932430088,"{""primary"":""restaurant"",""alternate"":[""german_restaurant"",""burger_restaurant""]}","{""primary"":""burger_restaurant"",""alternate"":[""cafe"",""pizza_restaurant"",""salad_bar"",""food"",""restaurant""]}"
08f44c021830026803d17bc7c5fb545d,562949961777702,"{""primary"":""veterinarian"",""alternate"":[""hospital"",""social_service_organizations""]}","{""primary"":""animal_hospital"",""alternate"":[""pet_services"",""veterinarian"",""pets""]}"
08f2e614569a86580306294dc87fd829,08f2e614569ab00003e1b072e293ad1b,"{""primary"":""palace"",""alternate"":[""hotel""]}","{""primary"":""landmark_and_historical_building"",""alternate"":[""park"",""public_plaza""]}"
08f274864eb8c0f30307c49f06635d20,1970324838811072,"{""primary"":""sign_making"",""alternate"":[""printing_services"",""professional_services""]}","{""primary"":""printing_services"",""alternate"":[""sign_making""]}"
08f1f916e27045180352f04913bc42cc,08f1f916e27154190345b56b0486a3a7,"{""primary"":""health_and_medical"",""alternate"":[""hospital""]}","{""primary"":""department_store"",""alternate"":[""bookstore"",""electronics""]}"
08f446c24248389c03f8f8dbd8576f9f,562949963667295,"{""primary"":""sewing_and_alterations"",""alternate"":[""arts_and_crafts"",""fabric_store""]}","{""primary"":""appliance_store"",""alternate"":[""sewing_and_alterations"",""retail""]}"
08f1e33450db537303a4d343dac8ccdc,844424934132353,"{""primary"":""cafe"",""alternate"":[""restaurant"",""internet_cafe""]}","{""primary"":""coffee_shop"",""alternate"":[""restaurant""]}"
08f2af62655ad02303c1c002aed33a25,1407374888662920,"{""primary"":""education"",""alternate"":[""specialty_school"",""b2b_science_and_technology""]}","{""primary"":""kids_recreation_and_party"",""alternate"":[""specialty_school"",""education""]}"
08f1f2d6b121bae9037c5aa065d85015,1688849866346166,"{""primary"":""medical_research_and_development"",""alternate"":[""health_and_medical"",""medical_service_organizations""]}","{""primary"":""hospital"",""alternate"":[""orthotics"",""health_and_medical""]}"
08f2a101ab4a4d6603318d4b9c6dea88,1970324839219910,"{""primary"":""italian_restaurant"",""alternate"":[""restaurant"",""pizza_restaurant""]}","{""primary"":""pizza_restaurant"",""alternate"":[""sandwich_shop"",""restaurant""]}"
08f1e9a009660cb00355eadd4822414d,2251799821009277,"{""primary"":""furniture_store"",""alternate"":[""bar""]}","{""primary"":""retail""}"
2251799821514759,844424932099356,"{""primary"":""pharmacy"",""alternate"":[""drugstore"",""retail""]}","{""primary"":""supermarket"",""alternate"":[""retail""]}"
